g_id,hpo_ids
ACADSB,"['HP:0001290', 'HP:0001270', 'HP:0003700', 'HP:0002045', 'HP:0001254', 'HP:0000577', 'HP:0000007', 'HP:0005949', 'HP:0001250', 'HP:0001943', 'HP:0000252', 'HP:0001252', 'HP:0001263', 'HP:0003593']"
ACADVL,"['HP:0003234', 'HP:0009045', 'HP:0003738', 'HP:0002020', 'HP:0002240', 'HP:0003215', 'HP:0001404', 'HP:0002069', 'HP:0001405', 'HP:0000007', 'HP:0001958', 'HP:0000252', 'HP:0001324', 'HP:0001252', 'HP:0002789', 'HP:0002572', 'HP:0003623', 'HP:0008305', 'HP:0001397', 'HP:0001254', 'HP:0005943', 'HP:0001987', 'HP:0001640', 'HP:0012664', 'HP:0033165', 'HP:0003593', 'HP:0001522', 'HP:0003552', 'HP:0001645', 'HP:0001639', 'HP:0003236']"
ACAN,"['HP:0025428', 'HP:0001552', 'HP:0000926', 'HP:0008843', 'HP:0000272', 'HP:0000303', 'HP:0001507', 'HP:0001156', 'HP:0002007', 'HP:0010055', 'HP:0002938', 'HP:0000007', 'HP:0000368', 'HP:0008905', 'HP:0001388', 'HP:0000006', 'HP:0002857', 'HP:0002655', 'HP:0003016', 'HP:0011304', 'HP:0011800', 'HP:0000470', 'HP:0003027', 'HP:0002970', 'HP:0004482', 'HP:0009381', 'HP:0005280', 'HP:0009778', 'HP:0003508', 'HP:0002515', 'HP:0004322', 'HP:0005616', 'HP:0002651', 'HP:0003370', 'HP:0002758', 'HP:0002750', 'HP:0010582', 'HP:0100777', 'HP:0005285', 'HP:0001609']"
ACAT1,"['HP:0005974', 'HP:0000007', 'HP:0002013', 'HP:0001944', 'HP:0001249']"
ACAT2,"['HP:0001290', 'HP:0002072', 'HP:0003542', 'HP:0003745', 'HP:0002151', 'HP:0001263']"
ACBD5,"['HP:0003429', 'HP:0001583', 'HP:0002527', 'HP:0001488', 'HP:0000510', 'HP:0001270', 'HP:0008167', 'HP:0001310', 'HP:0000007', 'HP:0000175', 'HP:0000750', 'HP:0000601', 'HP:0030147', 'HP:0009904', 'HP:0000253', 'HP:0003391', 'HP:0001260', 'HP:0002515']"
ACD,"['HP:0001915', 'HP:0000164', 'HP:0002745', 'HP:0008404', 'HP:0000007', 'HP:0010450', 'HP:0000252', 'HP:0000006', 'HP:0001321', 'HP:0001263', 'HP:0005528', 'HP:0001511']"
ACE,"['HP:0004492', 'HP:0002615', 'HP:0000007', 'HP:0000252', 'HP:0000079', 'HP:0002089', 'HP:0008660', 'HP:0002093', 'HP:0002009', 'HP:0001562', 'HP:0100519']"
ACER3,"['HP:0003676', 'HP:0007281', 'HP:0002415', 'HP:0001257', 'HP:0000319', 'HP:0000007', 'HP:0001284', 'HP:0000179', 'HP:0009830', 'HP:0000543', 'HP:0000574', 'HP:0001332', 'HP:0004482', 'HP:0002079', 'HP:0000448', 'HP:0004322', 'HP:0000280', 'HP:0001371', 'HP:0000340', 'HP:0000011', 'HP:0002376', 'HP:0000369', 'HP:0002059', 'HP:0001249']"
ACKR3,"['HP:0000508', 'HP:0003577', 'HP:0000007', 'HP:0033851', 'HP:0009921']"
ACO2,"['HP:0002120', 'HP:0000639', 'HP:0000648', 'HP:0002069', 'HP:0000007', 'HP:0007108', 'HP:0001284', 'HP:0001252', 'HP:0030528', 'HP:0000407', 'HP:0000486', 'HP:0000642', 'HP:0000556', 'HP:0002079', 'HP:0010864', 'HP:0001508', 'HP:0003593', 'HP:0001265', 'HP:0007663', 'HP:0002305', 'HP:0001272', 'HP:0000980', 'HP:0000253', 'HP:0001251', 'HP:0011344', 'HP:0007359']"
ACOX1,"['HP:0000639', 'HP:0002500', 'HP:0000648', 'HP:0006887', 'HP:0000580', 'HP:0001298', 'HP:0000431', 'HP:0001319', 'HP:0002240', 'HP:0007305', 'HP:0002522', 'HP:0003690', 'HP:0000248', 'HP:0002007', 'HP:0002415', 'HP:0000007', 'HP:0000006', 'HP:0002312', 'HP:0003487', 'HP:0008763', 'HP:0003390', 'HP:0012391', 'HP:0001332', 'HP:0000486', 'HP:0000510', 'HP:0003186', 'HP:0000737', 'HP:0012332', 'HP:0002747', 'HP:0001276', 'HP:0010864', 'HP:0005280', 'HP:0001344', 'HP:0002355', 'HP:0003593', 'HP:0000316', 'HP:0002376', 'HP:0006555', 'HP:0000369', 'HP:0001250', 'HP:0000654', 'HP:0011344', 'HP:0008619', 'HP:0002015', 'HP:0002910']"
ACOX2,"['HP:0100512', 'HP:0001256', 'HP:0001310', 'HP:0000007', 'HP:0000511', 'HP:0000750', 'HP:0002570', 'HP:0001350', 'HP:0045014', 'HP:0001263', 'HP:0003593']"
ACP2,"['HP:0001290', 'HP:0000007', 'HP:0002013', 'HP:0001252', 'HP:0001892', 'HP:0002179']"
ACP4,"['HP:0011094', 'HP:0000670', 'HP:0000007', 'HP:0000687', 'HP:0000705', 'HP:0006297']"
ACP5,"['HP:0030880', 'HP:0002958', 'HP:0003493', 'HP:0001264', 'HP:0003577', 'HP:0002694', 'HP:0001045', 'HP:0001552', 'HP:0002478', 'HP:0000926', 'HP:0000821', 'HP:0003025', 'HP:0002007', 'HP:0001257', 'HP:0011463', 'HP:0001386', 'HP:0011108', 'HP:0000007', 'HP:0002938', 'HP:0002090', 'HP:0003016', 'HP:0002751', 'HP:0011800', 'HP:0001256', 'HP:0007526', 'HP:0001875', 'HP:0030320', 'HP:0001973', 'HP:0100255', 'HP:0000460', 'HP:0001034', 'HP:0002650', 'HP:0002725', 'HP:0003301', 'HP:0005387', 'HP:0004322', 'HP:0003621', 'HP:0001888', 'HP:0004979', 'HP:0002716', 'HP:0002091', 'HP:0002514', 'HP:0005403', 'HP:0005576', 'HP:0005374', 'HP:0002205', 'HP:0000369', 'HP:0005681', 'HP:0000979', 'HP:0002657', 'HP:0000403', 'HP:0000262', 'HP:0001263', 'HP:0100866']"
ACSF3,"['HP:0001993', 'HP:0002014', 'HP:0000007', 'HP:0002013', 'HP:0001944', 'HP:0011169', 'HP:0012120', 'HP:0001508', 'HP:0001263']"
ACSL4,"['HP:0001347', 'HP:0000729', 'HP:0011463', 'HP:0001423', 'HP:0000739', 'HP:0000750', 'HP:0000252', 'HP:0001252', 'HP:0001249']"
ACTA1,"['HP:0001374', 'HP:0009130', 'HP:0003810', 'HP:0001347', 'HP:0000508', 'HP:0001425', 'HP:0000218', 'HP:0002058', 'HP:0003577', 'HP:0032341', 'HP:0003691', 'HP:0003803', 'HP:0003458', 'HP:0003828', 'HP:0001319', 'HP:0008180', 'HP:0003445', 'HP:0001761', 'HP:0000275', 'HP:0008872', 'HP:0002804', 'HP:0001561', 'HP:0003701', 'HP:0001612', 'HP:0003690', 'HP:0003557', 'HP:0000007', 'HP:0002938', 'HP:0003323', 'HP:0001284', 'HP:0000006', 'HP:0000602', 'HP:0003798', 'HP:0002063', 'HP:0003306', 'HP:0001644', 'HP:0001558', 'HP:0003755', 'HP:0000278', 'HP:0001270', 'HP:0002747', 'HP:0000298', 'HP:0002650', 'HP:0003677', 'HP:0009025', 'HP:0001283', 'HP:0011968', 'HP:0001508', 'HP:0002093', 'HP:0002515', 'HP:0009027', 'HP:0003307', 'HP:0003593', 'HP:0001265', 'HP:0003722', 'HP:0002359', 'HP:0031189', 'HP:0010628', 'HP:0001533', 'HP:0003687', 'HP:0003324', 'HP:0003121', 'HP:0001771', 'HP:0002015', 'HP:0011462', 'HP:0000276']"
ACTA2,"['HP:0012499', 'HP:0004933', 'HP:0002566', 'HP:0005181', 'HP:0033505', 'HP:0000822', 'HP:0011499', 'HP:0000006', 'HP:0002789', 'HP:0030891', 'HP:0001643', 'HP:0004944', 'HP:0002092', 'HP:0100770', 'HP:0004970', 'HP:0500007', 'HP:0012727', 'HP:0000028', 'HP:0011834', 'HP:0007866']"
ACTB,"['HP:0011342', 'HP:0000508', 'HP:0000396', 'HP:0007325', 'HP:0000154', 'HP:0001302', 'HP:0000175', 'HP:0008897', 'HP:0002553', 'HP:0000431', 'HP:0001518', 'HP:0008796', 'HP:0000286', 'HP:0000343', 'HP:0000882', 'HP:0010066', 'HP:0000204', 'HP:0001274', 'HP:0003196', 'HP:0000252', 'HP:0001252', 'HP:0000006', 'HP:0000470', 'HP:0002751', 'HP:0011800', 'HP:0000637', 'HP:0001256', 'HP:0000278', 'HP:0000307', 'HP:0002571', 'HP:0000407', 'HP:0001290', 'HP:0000612', 'HP:0000518', 'HP:0000568', 'HP:0000463', 'HP:0002162', 'HP:0001643', 'HP:0001508', 'HP:0004322', 'HP:0002119', 'HP:0001647', 'HP:0000243', 'HP:0000219', 'HP:0000316', 'HP:0000054', 'HP:0000369', 'HP:0001250', 'HP:0000348', 'HP:0001650', 'HP:0001249', 'HP:0000028', 'HP:0001263', 'HP:0000202', 'HP:0000567']"
ACTC1,"['HP:0001631', 'HP:0001639', 'HP:0001644', 'HP:0004308', 'HP:0000006', 'HP:0001723', 'HP:0011675', 'HP:0001712', 'HP:0001635', 'HP:0030682']"
ACTG1,"['HP:0000408', 'HP:0000508', 'HP:0001302', 'HP:0000154', 'HP:0002553', 'HP:0000465', 'HP:0001339', 'HP:0000343', 'HP:0001274', 'HP:0000506', 'HP:0000006', 'HP:0000470', 'HP:0000637', 'HP:0000278', 'HP:0000307', 'HP:0011462', 'HP:0000377', 'HP:0000568', 'HP:0000589', 'HP:0004322', 'HP:0000365', 'HP:0002119', 'HP:0000219', 'HP:0000243', 'HP:0005484', 'HP:0000316', 'HP:0001250', 'HP:0030680', 'HP:0001249', 'HP:0008619', 'HP:0000202']"
ACTG2,"['HP:0003577', 'HP:0002014', 'HP:0002566', 'HP:0001562', 'HP:0001561', 'HP:0004388', 'HP:0002013', 'HP:0001399', 'HP:0000006', 'HP:0004389', 'HP:0000021', 'HP:0011461', 'HP:0002027', 'HP:0001733', 'HP:0000072', 'HP:0000076', 'HP:0003270', 'HP:0002019', 'HP:0001409', 'HP:0030996', 'HP:0000016', 'HP:0002578', 'HP:0004395', 'HP:0000126', 'HP:0002015', 'HP:0002251']"
ACTL6B,"['HP:0002061', 'HP:0000154', 'HP:0002283', 'HP:0010841', 'HP:0008872', 'HP:0000007', 'HP:0012469', 'HP:0001792', 'HP:0000252', 'HP:0000006', 'HP:0001249', 'HP:0030891', 'HP:0001290', 'HP:0000414', 'HP:0009882', 'HP:0002079', 'HP:0001344', 'HP:0000699', 'HP:0003593', 'HP:0001272', 'HP:0002540', 'HP:0003819', 'HP:0000316', 'HP:0006986', 'HP:0001250', 'HP:0011220', 'HP:0002136', 'HP:0002059', 'HP:0011344', 'HP:0002188', 'HP:0001263', 'HP:0000337']"
ACTL9,"['HP:0032562', 'HP:0000007', 'HP:0003251']"
ACTN1,"['HP:0001873', 'HP:0000421', 'HP:0032438', 'HP:0000006', 'HP:0011877']"
