g_id,omim_id,hpo_ids
ACD,OMIM:616553,"['HP:0000164', 'HP:0000252', 'HP:0001915', 'HP:0001263', 'HP:0001511', 'HP:0008404', 'HP:0002745', 'HP:0000007', 'HP:0001321', 'HP:0005528', 'HP:0010450', 'HP:0000006']"
ACE,OMIM:267430,"['HP:0002089', 'HP:0008660', 'HP:0000079', 'HP:0002009', 'HP:0100519', 'HP:0001562', 'HP:0002615', 'HP:0000252', 'HP:0002093', 'HP:0000007', 'HP:0004492']"
ACER3,OMIM:617762,"['HP:0000543', 'HP:0002059', 'HP:0002079', 'HP:0000179', 'HP:0000340', 'HP:0001371', 'HP:0001332', 'HP:0002376', 'HP:0004322', 'HP:0007281', 'HP:0000007', 'HP:0000319', 'HP:0004482', 'HP:0003676', 'HP:0002415', 'HP:0000011', 'HP:0009830', 'HP:0001249', 'HP:0000369', 'HP:0000448', 'HP:0000280', 'HP:0000574', 'HP:0001257', 'HP:0001284']"
ACKR3,OMIM:619215,"['HP:0009921', 'HP:0003577', 'HP:0000508', 'HP:0000007', 'HP:0033851']"
ACO2,OMIM:614559,"['HP:0002069', 'HP:0000007', 'HP:0000253', 'HP:0002079', 'HP:0002120', 'HP:0003593', 'HP:0001265', 'HP:0001252', 'HP:0010864', 'HP:0000648', 'HP:0007108', 'HP:0001284', 'HP:0011344', 'HP:0001272', 'HP:0000407', 'HP:0001251', 'HP:0000486', 'HP:0002305', 'HP:0000556', 'HP:0001508', 'HP:0000639', 'HP:0007359']"
ACO2,OMIM:616289,"['HP:0000007', 'HP:0030528', 'HP:0000642', 'HP:0000648', 'HP:0000980', 'HP:0007663']"
ACOX1,OMIM:264470,"['HP:0003593', 'HP:0001319', 'HP:0007305', 'HP:0006887', 'HP:0000737', 'HP:0000654', 'HP:0001276', 'HP:0001332', 'HP:0008619', 'HP:0000486', 'HP:0000639', 'HP:0002015', 'HP:0010864', 'HP:0002240', 'HP:0000431', 'HP:0002007', 'HP:0006555', 'HP:0000316', 'HP:0000648', 'HP:0005280', 'HP:0002376', 'HP:0000510', 'HP:0001250', 'HP:0002415', 'HP:0003487', 'HP:0011344', 'HP:0000369', 'HP:0000248', 'HP:0000580', 'HP:0003186', 'HP:0008763', 'HP:0002910', 'HP:0000007']"
ACOX1,OMIM:618960,"['HP:0001344', 'HP:0002355', 'HP:0002015', 'HP:0002500', 'HP:0001298', 'HP:0002312', 'HP:0012332', 'HP:0000006', 'HP:0012391', 'HP:0002747', 'HP:0001250', 'HP:0003390', 'HP:0002522', 'HP:0003690']"
ACOX2,OMIM:617308,"['HP:0100512', 'HP:0001263', 'HP:0000007', 'HP:0000750', 'HP:0001310', 'HP:0045014', 'HP:0001350', 'HP:0003593', 'HP:0000511', 'HP:0001256', 'HP:0002570']"
ACP2,OMIM:200950,"['HP:0002179', 'HP:0001252', 'HP:0000007', 'HP:0001892', 'HP:0002013', 'HP:0001290']"
ACP4,OMIM:617297,"['HP:0006297', 'HP:0000007', 'HP:0000687', 'HP:0000670', 'HP:0000705', 'HP:0011094']"
ACP5,OMIM:607944,"['HP:0000369', 'HP:0000403', 'HP:0000926', 'HP:0030880', 'HP:0007526', 'HP:0005681', 'HP:0000979', 'HP:0002694', 'HP:0002716', 'HP:0001875', 'HP:0002725', 'HP:0002205', 'HP:0001263', 'HP:0011463', 'HP:0100866', 'HP:0011800', 'HP:0005374', 'HP:0003493', 'HP:0002958', 'HP:0004979', 'HP:0100255', 'HP:0001045', 'HP:0005387', 'HP:0001034', 'HP:0000460', 'HP:0030320', 'HP:0003025', 'HP:0004322', 'HP:0001973', 'HP:0001888', 'HP:0002091', 'HP:0000821', 'HP:0001264', 'HP:0001552', 'HP:0003621', 'HP:0000007', 'HP:0002514', 'HP:0002657', 'HP:0001257', 'HP:0002650', 'HP:0005403', 'HP:0003016', 'HP:0002478', 'HP:0002007', 'HP:0002751', 'HP:0002938', 'HP:0001386', 'HP:0002090', 'HP:0003577', 'HP:0000262', 'HP:0005576', 'HP:0011108', 'HP:0003301', 'HP:0001256']"
ACSF3,OMIM:614265,"['HP:0001263', 'HP:0001944', 'HP:0002014', 'HP:0002013', 'HP:0000007', 'HP:0001993', 'HP:0012120', 'HP:0011169', 'HP:0001508']"
